data;consumo_giorno;consumo_orario;consumo_orario_diff;consumo_ora_giorno;consumo_cumulato;tmedia;umidita
2019-01-01;730.8;[55.8, 51.6, 60.0, 63.6, 51.0, 57.0, 55.2, 51.0, 62.4, 61.2, 51.6, 54.6, 55.8];[-1.8000000000000043, -4.199999999999996, 8.399999999999999, 3.6000000000000014, -12.600000000000001, 6.0, -1.7999999999999972, -4.200000000000003, 11.399999999999999, -1.1999999999999957, -9.600000000000001, 3.0, 1.1999999999999957];[0.07635467980295567, 0.07060755336617407, 0.08210180623973728, 0.08702791461412152, 0.06978653530377668, 0.07799671592775041, 0.0755336617405583, 0.06978653530377668, 0.08538587848932677, 0.08374384236453203, 0.07060755336617407, 0.07471264367816093, 0.07635467980295567];[0.07635467980295567, 0.14696223316912974, 0.22906403940886702, 0.3160919540229885, 0.3858784893267652, 0.46387520525451564, 0.539408866995074, 0.6091954022988506, 0.6945812807881774, 0.7783251231527093, 0.8489326765188835, 0.9236453201970444, 1.0];2.3375;97.29166666666669
2019-01-02;741.0;[48.6, 50.4, 64.2, 57.6, 52.2, 58.8, 52.8, 66.0, 58.2, 54.6, 67.8, 54.6, 55.2];[-1.7999999999999972, 1.7999999999999972, 13.800000000000004, -6.600000000000001, -5.399999999999999, 6.599999999999994, -6.0, 13.200000000000003, -7.799999999999997, -3.6000000000000014, 13.199999999999996, -13.199999999999996, 0.6000000000000014];[0.06558704453441296, 0.0680161943319838, 0.08663967611336033, 0.07773279352226721, 0.07044534412955467, 0.07935222672064778, 0.07125506072874493, 0.08906882591093117, 0.07854251012145749, 0.0736842105263158, 0.09149797570850202, 0.0736842105263158, 0.07449392712550608];[0.06558704453441296, 0.13360323886639677, 0.22024291497975707, 0.29797570850202426, 0.3684210526315789, 0.4477732793522267, 0.5190283400809717, 0.6080971659919029, 0.6866396761133603, 0.7603238866396761, 0.851821862348178, 0.9255060728744938, 1.0];5.195833333333334;51.83333333333334
2019-01-03;761.3999999999999;[60.6, 60.6, 66.0, 56.4, 54.6, 62.4, 60.0, 55.2, 61.2, 61.8, 52.8, 55.8, 54.0];[7.800000000000004, 0.0, 5.399999999999999, -9.600000000000001, -1.7999999999999972, 7.799999999999997, -2.3999999999999986, -4.799999999999997, 6.0, 0.5999999999999943, -9.0, 3.0, -1.7999999999999972];[0.07959022852639876, 0.07959022852639876, 0.08668242710795904, 0.07407407407407408, 0.07171000788022067, 0.08195429472025217, 0.07880220646178095, 0.07249802994483848, 0.08037825059101657, 0.08116627265563436, 0.06934594168636722, 0.07328605200945627, 0.07092198581560286];[0.07959022852639876, 0.1591804570527975, 0.24586288416075652, 0.31993695823483065, 0.3916469661150513, 0.4736012608353034, 0.5524034672970843, 0.6249014972419228, 0.7052797478329395, 0.7864460204885738, 0.8557919621749409, 0.9290780141843972, 1.0];2.9041666666666663;45.95833333333334
2019-01-04;729.0;[52.2, 52.2, 62.4, 62.4, 52.2, 57.6, 52.2, 53.4, 60.6, 56.4, 53.4, 54.6, 59.4];[1.8000000000000043, 0.0, 10.199999999999996, 0.0, -10.199999999999996, 5.399999999999999, -5.399999999999999, 1.1999999999999957, 7.200000000000003, -4.200000000000003, -3.0, 1.2000000000000028, 4.799999999999997];[0.07160493827160494, 0.07160493827160494, 0.08559670781893004, 0.08559670781893004, 0.07160493827160494, 0.07901234567901234, 0.07160493827160494, 0.07325102880658436, 0.08312757201646091, 0.07736625514403292, 0.07325102880658436, 0.07489711934156379, 0.08148148148148147];[0.07160493827160494, 0.14320987654320988, 0.22880658436213994, 0.31440329218107, 0.38600823045267496, 0.46502057613168735, 0.5366255144032922, 0.6098765432098766, 0.6930041152263375, 0.7703703703703704, 0.8436213991769548, 0.9185185185185185, 1.0];-0.3875000000000002;69.29166666666667
2019-01-05;704.4;[58.8, 51.6, 52.2, 55.8, 51.0, 60.6, 54.0, 50.4, 52.2, 55.8, 55.8, 54.6, 51.6];[8.399999999999999, -7.199999999999996, 0.6000000000000014, 3.5999999999999943, -4.799999999999997, 9.600000000000001, -6.600000000000001, -3.6000000000000014, 1.8000000000000043, 3.5999999999999943, 0.0, -1.1999999999999957, -3.0];[0.08347529812606473, 0.07325383304940375, 0.07410562180579217, 0.07921635434412265, 0.07240204429301533, 0.08603066439523, 0.07666098807495741, 0.07155025553662692, 0.07410562180579217, 0.07921635434412265, 0.07921635434412265, 0.07751277683134583, 0.07325383304940375];[0.08347529812606473, 0.1567291311754685, 0.2308347529812607, 0.3100511073253834, 0.3824531516183987, 0.4684838160136287, 0.5451448040885861, 0.616695059625213, 0.6908006814310051, 0.7700170357751278, 0.8492333901192504, 0.9267461669505962, 1.0];0.3999999999999999;74.375
2019-01-06;729.6;[55.8, 58.2, 51.6, 52.8, 51.0, 51.6, 51.0, 55.2, 68.4, 62.4, 56.4, 54.0, 61.2];[-3.0, 2.4000000000000057, -6.600000000000001, 1.1999999999999957, -1.7999999999999972, 0.6000000000000014, -0.6000000000000014, 4.200000000000003, 13.200000000000003, -6.000000000000007, -6.0, -2.3999999999999986, 7.200000000000003];[0.07648026315789473, 0.07976973684210527, 0.07072368421052631, 0.07236842105263157, 0.06990131578947369, 0.07072368421052631, 0.06990131578947369, 0.0756578947368421, 0.09375, 0.08552631578947369, 0.07730263157894736, 0.07401315789473684, 0.08388157894736842];[0.07648026315789473, 0.15625, 0.2269736842105263, 0.29934210526315785, 0.3692434210526315, 0.43996710526315785, 0.5098684210526315, 0.5855263157894737, 0.6792763157894737, 0.7648026315789473, 0.8421052631578947, 0.9161184210526315, 1.0];2.8041666666666667;74.5
2019-01-07;942.5999999999999;[52.2, 49.2, 58.8, 79.8, 81.0, 76.2, 85.8, 74.4, 88.2, 75.6, 73.8, 79.8, 67.8];[-1.7999999999999972, -3.0, 9.599999999999994, 21.0, 1.2000000000000028, -4.799999999999997, 9.599999999999994, -11.399999999999991, 13.799999999999997, -12.600000000000009, -1.7999999999999972, 6.0, -12.0];[0.0553787396562699, 0.05219605346912795, 0.06238064926798218, 0.08465945257797582, 0.0859325270528326, 0.08084022915340548, 0.09102482495225972, 0.07893061744112032, 0.09357097390197328, 0.08020369191597708, 0.07829408020369193, 0.08465945257797582, 0.07192870782940802];[0.0553787396562699, 0.10757479312539785, 0.16995544239338, 0.25461489497135587, 0.3405474220241885, 0.4213876511775939, 0.5124124761298536, 0.5913430935709739, 0.6849140674729473, 0.7651177593889243, 0.8434118395926162, 0.928071292170592, 1.0];1.6291666666666669;87.29166666666669
2019-01-08;1056.6000000000001;[67.2, 78.0, 78.6, 84.0, 87.0, 95.4, 81.6, 91.2, 81.6, 91.2, 75.0, 78.6, 67.2];[1.7999999999999972, 10.799999999999997, 0.5999999999999943, 5.400000000000006, 3.0, 8.400000000000006, -13.800000000000011, 9.600000000000009, -9.600000000000009, 9.600000000000009, -16.200000000000003, 3.5999999999999943, -11.399999999999991];[0.06360022714366836, 0.07382169222032935, 0.07438955139125496, 0.07950028392958546, 0.08233957978421351, 0.09028960817717205, 0.07722884724588301, 0.08631459398069279, 0.07722884724588301, 0.08631459398069279, 0.07098239636570129, 0.07438955139125496, 0.06360022714366836];[0.06360022714366836, 0.1374219193639977, 0.21181147075525267, 0.29131175468483805, 0.3736513344690516, 0.4639409426462236, 0.5411697898921066, 0.6274843838727995, 0.7047132311186824, 0.7910278250993753, 0.8620102214650767, 0.9363997728563316, 1.0];1.5416666666666667;98.45833333333331
2019-01-09;1029.6;[61.2, 76.2, 74.4, 89.4, 79.2, 90.6, 77.4, 90.6, 82.8, 89.4, 75.0, 74.4, 69.0];[0.6000000000000014, 15.0, -1.7999999999999972, 15.0, -10.200000000000003, 11.399999999999991, -13.199999999999989, 13.199999999999989, -7.799999999999997, 6.6000000000000085, -14.400000000000006, -0.5999999999999943, -5.400000000000006];[0.05944055944055945, 0.07400932400932402, 0.07226107226107227, 0.08682983682983685, 0.07692307692307693, 0.087995337995338, 0.07517482517482518, 0.087995337995338, 0.08041958041958043, 0.08682983682983685, 0.07284382284382285, 0.07226107226107227, 0.06701631701631702];[0.05944055944055945, 0.13344988344988346, 0.20571095571095574, 0.2925407925407926, 0.36946386946386955, 0.4574592074592075, 0.5326340326340326, 0.6206293706293707, 0.701048951048951, 0.7878787878787878, 0.8607226107226107, 0.932983682983683, 1.0];5.5125;53.875
2019-01-10;1025.4;[73.2, 70.2, 79.2, 87.0, 75.6, 87.6, 87.6, 75.0, 85.2, 80.4, 75.0, 82.2, 67.2];[10.800000000000004, -3.0, 9.0, 7.799999999999997, -11.400000000000006, 12.0, 0.0, -12.599999999999994, 10.200000000000003, -4.799999999999997, -5.400000000000006, 7.200000000000003, -15.0];[0.07138677589233469, 0.0684610883557636, 0.07723815096547688, 0.08484493856056173, 0.07372732592159156, 0.08543007606787593, 0.08543007606787593, 0.07314218841427735, 0.08308952603861908, 0.07840842598010532, 0.07314218841427735, 0.08016383850204797, 0.06553540081919251];[0.07138677589233469, 0.1398478642480983, 0.2170860152135752, 0.3019309537741369, 0.3756582796957285, 0.46108835576360446, 0.5465184318314804, 0.6196606202457577, 0.7027501462843769, 0.7811585722644822, 0.8543007606787596, 0.9344645991808076, 1.0];5.2;36.833333333333336
