LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/8/2019;;;;;;;;;;;;;
Milano;2/8/2019;;;;;;;;;;;;;
Milano;3/8/2019;;;;;;;;;;;;;
Milano;4/8/2019;;;;;;;;;;;;;
Milano;5/8/2019;;;;;;;;;;;;;
Milano;6/8/2019;;;;;;;;;;;;;
Milano;7/8/2019;;;;;;;;;;;;;
Milano;8/8/2019;;;;;;;;;;;;;
Milano;9/8/2019;;;;;;;;;;;;;
Milano;10/8/2019;;;;;;;;;;;;;
Milano;11/8/2019;;;;;;;;;;;;;
Milano;12/8/2019;;;;;;;;;;;;;
Milano;13/8/2019;;;;;;;;;;;;;
Milano;14/8/2019;;;;;;;;;;;;;
Milano;15/8/2019;;;;;;;;;;;;;
Milano;16/8/2019;;;;;;;;;;;;;
Milano;17/8/2019;;;;;;;;;;;;;
Milano;18/8/2019;;;;;;;;;;;;;
Milano;19/8/2019;;;;;;;;;;;;;
Milano;20/8/2019;;;;;;;;;;;;;
Milano;21/8/2019;;;;;;;;;;;;;
Milano;22/8/2019;;;;;;;;;;;;;
Milano;23/8/2019;;;;;;;;;;;;;
Milano;24/8/2019;;;;;;;;;;;;;
Milano;25/8/2019;;;;;;;;;;;;;
Milano;26/8/2019;;;;;;;;;;;;;
Milano;27/8/2019;;;;;;;;;;;;;
Milano;28/8/2019;;;;;;;;;;;;;
Milano;29/8/2019;;;;;;;;;;;;;
Milano;30/8/2019;;;;;;;;;;;;;
Milano;31/8/2019;;;;;;;;;;;;;
