data;h.7;h.8;h.9;h.10;h.11;h.12;h.13;h.14;h.15;h.16;h.17;h.18;h.19
2018-01-01;63.0;63.0;66.6;64.2;63.0;63.6;63.6;66.6;66.0;63.0;63.0;63.6;69.0
2018-01-02;63.0;64.2;71.4;69.0;72.6;73.2;73.2;73.2;70.8;75.6;70.8;72.0;73.8
2018-01-03;83.4;78.0;78.6;78.6;82.2;78.0;70.8;69.6;71.4;69.6;70.8;69.6;69.0
2018-01-04;73.2;78.6;72.6;76.8;78.0;73.2;69.6;66.6;74.4;75.0;72.6;72.0;69.6
2018-01-05;73.2;76.8;81.0;81.6;81.6;78.6;74.4;73.2;72.0;70.8;72.6;72.6;72.0
2018-01-06;75.6;74.4;74.4;81.0;76.2;67.8;65.4;68.4;67.2;63.0;62.4;63.0;63.6
2018-01-07;77.4;75.0;75.6;78.0;84.6;73.2;67.8;68.4;72.0;65.4;66.0;69.0;65.4
2018-01-08;67.2;73.8;82.2;90.6;92.4;96.6;91.8;91.2;89.4;91.2;96.0;87.6;81.6
2018-01-09;79.2;85.8;87.0;102.6;105.0;106.8;111.0;106.2;102.6;97.2;92.4;90.6;85.8
2018-01-10;78.6;84.0;97.8;96.0;96.6;94.2;90.6;97.2;92.4;85.2;85.2;83.4;79.8
2018-01-11;79.2;80.4;87.6;99.0;95.4;98.4;92.4;91.2;93.6;93.0;94.2;93.0;85.2
2018-01-12;91.2;93.6;102.6;94.2;100.8;100.2;96.6;95.4;95.4;100.2;91.2;85.8;81.0
2018-01-13;80.4;77.4;76.8;79.8;74.4;76.8;75.0;76.8;72.0;73.2;78.0;73.2;73.2
2018-01-14;80.4;81.6;77.4;76.8;80.4;79.2;76.8;77.4;72.6;70.2;70.2;75.0;69.6
2018-01-15;72.6;85.8;91.2;87.0;92.4;90.6;94.8;94.8;94.8;87.6;85.2;82.2;88.2
2018-01-16;78.0;83.4;85.8;99.6;97.2;91.8;91.2;88.8;90.6;89.4;86.4;84.6;81.6
2018-01-17;77.4;84.6;90.6;96.0;100.8;100.2;93.0;94.8;94.8;95.4;93.6;86.4;84.0
2018-01-18;82.2;86.4;92.4;95.4;97.2;99.0;93.0;94.8;92.4;93.6;95.4;84.6;82.8
2018-01-19;81.6;90.0;95.4;96.6;97.8;101.4;95.4;96.0;94.2;93.6;90.0;89.4;87.6
2018-01-20;78.6;79.2;81.0;78.0;79.2;81.0;79.2;80.4;78.6;78.6;76.2;76.8;78.0
2018-01-21;78.0;77.4;79.2;78.6;76.8;79.8;79.2;81.6;81.6;79.2;82.2;78.6;78.6
2018-01-22;80.4;81.6;89.4;93.6;99.0;97.2;99.0;99.0;96.6;98.4;94.8;96.0;91.8
2018-01-23;85.2;91.2;94.2;99.0;98.4;97.8;96.6;96.0;97.2;96.0;99.6;92.4;91.2
