"","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19"
"V1",-0.0382712295124411,-0.121499625908348,0.0530055813005473,-0.100897537202886,0.0210532533841112,-0.100832006867146,-0.0128542154078687,0.0291956753245235,0.0101196297706418,0.0494335634578776,-0.0831780710456698,-0.061935108240823,0.0439307762093559
"V2",0.46478775069963,0.477810150283002,0.43276458516837,0.400078597924948,0.510427929826,0.394919703649492,0.345218123107477,0.270301505843949,0.257174505600853,0.20208008532952,0.224968154306684,0.167462413977801,0.16521965216271
"V3",1.95326950887134,1.90700544732219,1.47603893779962,1.55911518763562,1.67353821436253,1.68444613808355,1.61690323727228,1.85436981940173,1.87447139317547,1.88694554534799,1.96549029771928,1.84598711132622,1.90095593995463
"V4",1.16291231557377,1.0080841384142,0.956048412334655,0.867601956067528,0.841389687975158,1.00135170706825,1.00339883595668,1.04614724056456,1.06215692483735,1.11596291526883,1.23013821696946,1.11111215159183,1.13013803751738
"V5",0.353042013545855,0.151111889205788,-0.13601531339388,-0.216520006032733,-0.261333389772134,-0.223747703611435,-0.189016588697916,-0.14540882498549,-0.159807501145396,-0.126326051089056,-0.0317946374848198,0.211465141344636,0.300912473729563
"V6",-0.26250018857439,-0.506755965112435,-0.331747987207788,-0.458475713217594,-0.358565802931889,-0.465004454952673,-0.239497419066642,-0.413413143770788,-0.454128410092024,-0.332729935009482,-0.292837070675572,-0.245158852102328,-0.145064549147436
"V7",-0.644359037884308,-0.198380251175318,-0.0512287601564279,-0.22323842138442,-0.0278271453545201,-0.392496917029288,-0.106213596937749,-0.323217730358298,-0.44291749778742,-0.0564857626711173,-0.569921666620962,-0.348073826979646,-0.573349690438418
"V8",0.433098916942499,0.651822042557791,0.790060628668361,0.673186784580191,0.787318988839995,0.882621034547743,0.90184698903556,0.909889185152731,0.851180113823422,0.940351739949061,0.771795143520697,0.552823110204671,0.495542332699968
"V9",1.74870518619481,1.59786933965589,1.86512224389337,1.87085650725092,1.95896781434536,1.87503931833628,1.90945688778396,1.96507494660629,1.97115393575916,1.89530619912672,1.97572501345034,2.05609067955685,1.91686841111529
"V10",0.259268135084405,0.236849664068508,0.219149331379352,0.183634119970099,0.29420047288336,0.256611785814987,0.339298625841985,0.269773194921103,0.408766360110241,0.399620118551677,0.416366056642278,0.487572050366587,0.490789431428345
"V11",-0.999033977170963,-1.32862939221851,-1.09409383131575,-1.43463820621596,-1.37318117893441,-1.46238285901558,-1.29090397709237,-1.36474981156186,-1.42287480971196,-1.0709159707934,-1.29172487491191,-1.25600282396413,-1.07538711498687
"V12",-0.164302714149164,-0.066200508629303,0.165948678855484,-0.0820215793692785,0.109668502650165,0.0976941102430447,-0.0700956265441009,-0.00903049993517227,-0.146337078839536,-0.00879474114817764,-0.10035975629464,-0.156046774375133,-0.0744409494253564
"V13",-0.903736318716322,-0.684604935890811,0.847054912847156,0.913547735362522,0.572201175300603,0.812620018043891,0.562994359473838,0.684954342808946,0.688107349740712,0.663043090260405,0.648107408883043,0.52442479945264,0.595630399479153
"V14",-0.823915311486437,-0.208076599429614,-0.0748799504839856,0.222803845712797,0.341519829742069,0.365122411442175,0.368001436003912,0.542935403899482,0.518173812131388,0.493551964512559,0.631863953473733,0.488869292091319,0.43464895721137
